Legend: 
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False, C - ControlPlane MAC
   VLAN     MAC Address      Type      age     Secure NTFY Ports
* 3554     0050.5696.e177   dynamic  0         F      F    Eth1/3
* 3554     0050.56b0.6f3e   dynamic  0         F      F    Po1
* 3554     0050.56b0.7d97   dynamic  0         F      F    Eth1/4
* 3555     001b.1700.0131   dynamic  0         F      F    Po2
* 3555     0050.56b0.40c3   dynamic  0         F      F    Eth1/4
* 3556     001b.1700.0131   dynamic  0         F      F    Po2
* 3557     001b.1700.0131   dynamic  0         F      F    Po2
* 3557     0050.5696.535b   dynamic  0         F      F    Eth1/4
* 3557     0050.5696.7aac   dynamic  0         F      F    Eth1/4
* 3557     0050.5696.fc06   dynamic  0         F      F    Po1
G    -     70df.2f1a.ab73   static   -         F      F    sup-eth1(R)
G 3250     70df.2f1a.ab73   static   -         F      F    sup-eth1(R)
